Выжил,Титул,Длина имени,Пол,Возраст,Братья сёстры супруги,Родители и дети,Один,Маленькая семья,Большая семья,Класс билета,Длина билета,Стоимость билета,Каюта,Порт посадки
0,Mr.,23,male,22.0,1,0,0,1,0,3,9,7.25,G,S
1,Mrs.,51,female,38.0,1,0,0,1,0,1,8,71.2833,Other,C
1,Miss.,22,female,26.0,0,0,1,0,0,3,16,7.925,G,S
1,Mrs.,44,female,35.0,1,0,0,1,0,1,6,53.1,Other,S
0,Mr.,24,male,35.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,16,male,32.0,0,0,1,0,0,3,6,8.4583,G,Q
0,Mr.,23,male,54.0,0,0,1,0,0,1,5,51.8625,Other,S
0,Master.,30,male,2.0,3,1,0,0,1,3,6,21.075,G,S
1,Mrs.,49,female,27.0,0,2,0,1,0,3,6,11.1333,G,S
1,Mrs.,35,female,14.0,1,0,0,1,0,2,6,30.0708,F,C
1,Miss.,31,female,4.0,1,1,0,1,0,3,7,16.7,G6,S
1,Miss.,24,female,58.0,0,0,1,0,0,1,6,26.55,Other,S
0,Mr.,30,male,20.0,0,0,1,0,0,3,9,8.05,G,S
0,Mr.,27,male,39.0,1,5,0,0,1,3,6,31.275,G,S
0,Miss.,36,female,14.0,0,0,1,0,0,3,6,7.8542,G,S
1,Mrs.,32,female,55.0,0,0,1,0,0,2,6,16.0,D,S
0,Master.,20,male,2.0,4,1,0,0,1,3,6,29.125,G,Q
1,Mr.,28,male,32.0,0,0,1,0,0,2,6,13.0,D,S
0,Mrs.,55,female,31.0,1,0,0,1,0,3,6,18.0,G,S
1,Mrs.,23,female,32.0,0,0,1,0,0,3,4,7.225,G,C
0,Mr.,20,male,35.0,0,0,1,0,0,2,6,26.0,F,S
1,Mr.,21,male,34.0,0,0,1,0,0,2,6,13.0,Other,S
1,Miss.,27,female,15.0,0,0,1,0,0,3,6,8.0292,G,Q
1,Mr.,28,male,28.0,0,0,1,0,0,1,6,35.5,Other,S
0,Miss.,29,female,8.0,3,1,0,0,1,3,6,21.075,G,S
1,Mrs.,57,female,38.0,1,5,0,0,1,3,6,31.3875,G,S
0,Mr.,23,male,32.0,0,0,1,0,0,3,4,7.225,G,C
0,Mr.,30,male,19.0,3,2,0,0,1,1,5,263.0,C23 C25 C27,S
1,Miss.,29,female,32.0,0,0,1,0,0,3,6,7.8792,G,Q
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
0,Other,24,male,40.0,0,0,1,0,0,1,8,27.7208,A,C
1,Mrs.,46,female,34.0,1,0,0,1,0,1,8,146.5208,Other,C
1,Miss.,24,female,32.0,0,0,1,0,0,3,6,7.75,G,Q
0,Mr.,21,male,66.0,0,0,1,0,0,2,10,10.5,D,S
0,Mr.,23,male,28.0,1,0,0,1,0,1,8,82.1708,C,C
0,Mr.,30,male,42.0,1,0,0,1,0,1,6,52.0,B,S
1,Mr.,16,male,32.0,0,0,1,0,0,3,4,7.2292,G,C
0,Mr.,24,male,21.0,0,0,1,0,0,3,10,8.05,G,S
0,Miss.,34,female,18.0,2,0,0,1,0,3,6,18.0,G,S
1,Miss.,27,female,14.0,1,0,0,1,0,3,4,11.2417,G,C
0,Mrs.,46,female,40.0,1,0,0,1,0,3,4,9.475,G,S
0,Mrs.,56,female,27.0,1,0,0,1,0,2,5,21.0,D,S
0,Mr.,19,male,32.0,0,0,1,0,0,3,6,7.8958,G,C
1,Miss.,40,female,3.0,1,2,0,1,0,2,13,41.5792,F,C
1,Miss.,29,female,19.0,0,0,1,0,0,3,6,7.8792,G,Q
0,Mr.,24,male,32.0,0,0,1,0,0,3,15,8.05,G,S
0,Mr.,17,male,34.0,1,0,0,1,0,3,6,15.5,G,Q
1,Miss.,25,female,32.0,0,0,1,0,0,3,5,7.75,G,Q
0,Mr.,19,male,32.0,2,0,0,1,0,3,4,21.6792,G,C
0,Mrs.,45,female,18.0,1,0,0,1,0,3,6,17.8,G,S
0,Master.,26,male,7.0,4,1,0,0,1,3,7,39.6875,G,S
0,Mr.,28,male,21.0,0,0,1,0,0,3,10,7.8,G,S
1,Mrs.,40,female,49.0,1,0,0,1,0,1,8,76.7292,Other,C
1,Mrs.,50,female,29.0,1,0,0,1,0,2,4,26.0,F,S
0,Mr.,30,male,65.0,0,1,0,1,0,1,6,61.9792,Other,C
1,Mr.,17,male,32.0,0,0,1,0,0,1,5,35.5,Other,S
1,Miss.,17,female,21.0,0,0,1,0,0,2,10,10.5,D,S
0,Mr.,19,male,28.5,0,0,1,0,0,3,4,7.2292,G,C
1,Miss.,28,female,5.0,1,2,0,1,0,2,10,27.75,F,S
0,Master.,34,male,11.0,5,2,0,0,1,3,7,46.9,G,S
0,Mr.,21,male,22.0,0,0,1,0,0,3,4,7.2292,G,C
1,Miss.,19,female,38.0,0,0,1,0,0,1,6,80.0,Other,C
0,Mr.,27,male,45.0,1,0,0,1,0,1,5,83.475,Other,S
0,Master.,21,male,4.0,3,2,0,0,1,3,6,27.9,G,S
0,Mr.,21,male,32.0,0,0,1,0,0,1,8,27.7208,A,C
1,Master.,24,male,27.0,1,1,0,1,0,3,4,15.2458,G,C
1,Mrs.,28,female,29.0,0,0,1,0,0,2,10,10.5,F33,S
0,Mr.,24,male,19.0,0,0,1,0,0,3,9,8.1583,G,S
1,Miss.,31,female,17.0,4,2,0,0,1,3,7,7.925,G,S
0,Mr.,17,male,26.0,2,0,0,1,0,3,6,8.6625,G,S
0,Mr.,26,male,32.0,0,0,1,0,0,2,10,10.5,D,S
0,Miss.,26,female,16.0,5,2,0,0,1,3,7,46.9,G,S
0,Mr.,20,male,21.0,0,0,1,0,0,2,12,73.5,F,S
0,Mr.,27,male,26.0,1,0,0,1,0,3,4,14.4542,G,C
1,Mr.,13,male,32.0,0,0,1,0,0,3,4,56.4958,G,S
0,Mr.,23,male,25.0,0,0,1,0,0,3,6,7.65,Other,S
0,Mr.,17,male,32.0,0,0,1,0,0,3,6,7.8958,G,S
0,Mr.,24,male,32.0,0,0,1,0,0,3,6,8.05,G,S
1,Master.,29,male,0.83,0,2,0,1,0,2,6,29.0,F,S
1,Miss.,24,female,30.0,0,0,1,0,0,3,6,12.475,G,S
0,Mr.,20,male,22.0,0,0,1,0,0,3,6,9.0,G,S
1,Mr.,27,male,29.0,0,0,1,0,0,3,6,9.5,G,S
1,Miss.,30,female,32.0,0,0,1,0,0,3,6,7.7875,G,Q
0,Mr.,23,male,28.0,0,0,1,0,0,1,6,47.1,A,S
1,Miss.,19,female,17.0,0,0,1,0,0,2,10,10.5,D,S
1,Mrs.,55,female,33.0,3,0,0,0,1,3,7,15.85,G,S
0,Mr.,22,male,16.0,1,3,0,0,1,3,10,34.375,G,S
0,Mr.,29,male,32.0,0,0,1,0,0,3,15,8.05,G,S
1,Miss.,26,female,23.0,3,2,0,0,1,1,5,263.0,C23 C25 C27,S
0,Mr.,22,male,24.0,0,0,1,0,0,3,6,8.05,G,S
0,Mr.,20,male,29.0,0,0,1,0,0,3,6,8.05,G,S
